145;362;20;51;[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
59;364;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
0;376;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;377;7;39;[174, 255, 73, 255, 51, 255, 39]
255;382;15;255;[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
142;386;18;142;[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;387;16;0;[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;387;6;217;[255, 131, 255, 35, 53, 217]
53;391;9;145;[53, 217, 174, 255, 73, 255, 143, 255, 145]
59;401;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
255;406;16;255;[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
55;418;17;143;[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
59;438;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
36;457;4;142;[36, 255, 107, 142]
142;460;19;142;[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;461;17;0;[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;461;6;217;[255, 131, 255, 89, 255, 217]
175;484;17;255;[175, 1, 67, 174, 255, 73, 255, 77, 255, 161, 52, 127, 103, 142, 255, 131, 255]
255;488;7;52;[255, 73, 255, 77, 255, 161, 52]
59;514;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
145;551;20;51;[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
59;553;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
0;565;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;566;7;39;[174, 255, 73, 255, 51, 255, 39]
255;571;15;255;[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
142;575;18;142;[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;576;16;0;[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;576;6;217;[255, 131, 255, 35, 53, 217]
53;580;9;145;[53, 217, 174, 255, 73, 255, 143, 255, 145]
59;590;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
255;595;16;255;[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
55;607;17;143;[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
59;627;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
36;646;4;142;[36, 255, 107, 142]
142;649;19;142;[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;650;17;0;[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;650;6;217;[255, 131, 255, 89, 255, 217]
59;665;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
67;675;10;161;[67, 29, 0, 174, 255, 73, 255, 77, 255, 161]
59;705;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
145;742;20;51;[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
59;744;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
0;756;8;39;[0, 174, 255, 73, 255, 51, 255, 39]
174;757;7;39;[174, 255, 73, 255, 51, 255, 39]
255;762;15;255;[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
142;766;18;142;[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
255;767;16;0;[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
255;767;6;217;[255, 131, 255, 35, 53, 217]
53;771;9;145;[53, 217, 174, 255, 73, 255, 143, 255, 145]
59;781;14;174;[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
