STATUS_OK 30-07 20:06:42 	SUM: 174 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
STATUS_OK 30-07 20:06:42 	SUM: 39 	[0, 174, 255, 73, 255, 51, 255, 39]
STATUS_OK 30-07 20:06:43 	SUM: 39 	[174, 255, 73, 255, 51, 255, 39]
STATUS_OK 30-07 20:06:43 	SUM: 255 	[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
STATUS_OK 30-07 20:06:43 	SUM: 142 	[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
STATUS_OK 30-07 20:06:43 	SUM: 0 	[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
STATUS_OK 30-07 20:06:44 	SUM: 217 	[255, 131, 255, 35, 53, 217]
STATUS_OK 30-07 20:06:44 	SUM: 145 	[53, 217, 174, 255, 73, 255, 143, 255, 145]
STATUS_OK 30-07 20:06:44 	SUM: 174 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
STATUS_OK 30-07 20:06:44 	SUM: 255 	[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
STATUS_OK 30-07 20:06:45 	SUM: 143 	[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
STATUS_OK 30-07 20:06:45 	SUM: 174 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
STATUS_OK 30-07 20:06:45 	SUM: 142 	[36, 255, 107, 142]
STATUS_OK 30-07 20:06:45 	SUM: 142 	[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
STATUS_OK 30-07 20:06:45 	SUM: 0 	[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
STATUS_OK 30-07 20:06:46 	SUM: 217 	[255, 131, 255, 89, 255, 217]
