WRONG_SUM! 31/07 14:17:38 SUM: 122  	[254, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:17:38 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:38 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:38 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:38 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:38 SUM: 227  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 58, 253, 209, 96, 128, 213, 175, 192, 13, 0, 255, 89, 255, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:38 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:17:38 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:38 SUM: 55  	[252, 161, 171, 239, 0]
WRONG_SUM! 31/07 14:17:39 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:39 SUM: 126  	[85, 255, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:39 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:39 SUM: 66  	[233, 224, 255, 254, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:17:39 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:39 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:39 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:39 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:39 SUM: 100  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 58, 253, 209, 96, 0, 213, 175, 192, 13, 0, 89, 255, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:39 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:17:39 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:39 SUM: 122  	[63, 161, 171, 239, 0]
WRONG_SUM! 31/07 14:17:40 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:40 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:40 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:40 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:17:40 SUM: 122  	[254, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:17:40 SUM: 232  	[255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:41 SUM: 0  	[254]
WRONG_SUM! 31/07 14:18:41 SUM: 90  	[233, 224, 254, 255, 175, 192, 37, 0]
WRONG_SUM! 31/07 14:18:41 SUM: 126  	[85, 255, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:41 SUM: 253  	[253, 224]
WRONG_SUM! 31/07 14:18:41 SUM: 221  	[85, 107, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:41 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:41 SUM: 138  	[255, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:42 SUM: 72  	[233, 224, 127, 240]
WRONG_SUM! 31/07 14:18:42 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
