WRONG_SUM! 03/08 13:08:46 SUM: 256  	[10]
WRONG_SUM! 03/08 13:08:52 SUM: 11  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 4, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 12, 190, 36, 10]
STATUS_OK 03/08 13:08:52 SUM: 10  	[209, 128, 91, 0, 92, 14, 190, 34, 10]
WRONG_SUM! 03/08 13:08:52 SUM: 12  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 5, 128, 91, 0, 92, 12, 190, 34, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 8  	[211, 136, 49, 1, 151, 63, 255, 84, 0, 168, 19, 1, 97, 128, 91, 0, 92, 13, 190, 35, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 9  	[85, 96, 121, 0, 183, 44, 0, 184, 0, 0, 8, 136, 194, 2, 2, 53, 125, 128, 91, 0, 92, 12, 190, 37, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 12  	[208, 128, 91, 0, 92, 12, 190, 35, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 16  	[85, 96, 121, 0, 183, 44, 0, 184, 0, 0, 9, 128, 71, 0, 83, 0, 89, 96, 100, 63, 102, 0, 36, 128, 91, 0, 92, 13, 190, 28, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 16  	[216, 128, 91, 0, 92, 12, 190, 23, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 16  	[85, 96, 121, 0, 183, 44, 0, 184, 0, 0, 21, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 215, 1, 66, 136, 49, 1, 151, 63, 255, 84, 0, 168, 23, 1, 93, 128, 91, 0, 92, 11, 190, 18, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 7  	[228, 128, 91, 0, 92, 13, 190, 19, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 6  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 22, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 12, 190, 24, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 4  	[221, 128, 91, 0, 92, 13, 190, 29, 10]
WRONG_SUM! 03/08 13:08:53 SUM: 4  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 12, 128, 91, 0, 92, 15, 190, 33, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 11  	[209, 136, 49, 1, 151, 63, 255, 84, 0, 168, 24, 1, 92, 128, 91, 0, 92, 12, 190, 35, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 3  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 7, 128, 91, 0, 92, 14, 190, 40, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 7  	[203, 128, 91, 0, 92, 13, 190, 44, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 12  	[85, 96, 121, 0, 183, 48, 0, 184, 0, 0, 251, 128, 71, 0, 83, 0, 89, 96, 100, 63, 102, 0, 36, 128, 91, 0, 92, 13, 190, 42, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 7  	[202, 128, 91, 0, 92, 13, 190, 45, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 8  	[85, 96, 121, 0, 183, 48, 0, 184, 0, 0, 250, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 215, 1, 66, 136, 49, 1, 151, 63, 255, 84, 0, 168, 23, 1, 93, 128, 91, 0, 92, 12, 190, 48, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 11  	[197, 128, 91, 0, 92, 13, 190, 46, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 14  	[85, 96, 121, 0, 183, 48, 0, 184, 0, 0, 249, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 12, 190, 43, 10]
WRONG_SUM! 03/08 13:08:54 SUM: 14  	[202, 128, 91, 0, 92, 11, 190, 40, 10]
STATUS_OK 03/08 13:08:54 SUM: 10  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 4, 128, 91, 0, 92, 12, 190, 39, 10]
STATUS_OK 03/08 13:08:55 SUM: 10  	[206, 136, 49, 1, 151, 63, 255, 84, 0, 168, 22, 1, 94, 128, 91, 0, 92, 12, 190, 39, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 9  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 4, 128, 91, 0, 92, 12, 190, 40, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 5  	[205, 128, 91, 0, 92, 14, 190, 43, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 6  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 254, 128, 71, 0, 83, 0, 89, 96, 100, 66, 102, 0, 33, 128, 91, 0, 92, 12, 190, 49, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 8  	[196, 128, 91, 0, 92, 12, 190, 51, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 11  	[85, 96, 121, 0, 183, 48, 0, 184, 0, 0, 245, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 215, 1, 66, 136, 49, 1, 151, 63, 255, 84, 0, 168, 22, 1, 94, 128, 91, 0, 92, 13, 190, 49, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 15  	[195, 128, 91, 0, 92, 12, 190, 45, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 12  	[85, 96, 121, 0, 183, 48, 0, 184, 0, 0, 251, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 13, 190, 42, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 13  	[202, 128, 91, 0, 92, 12, 190, 40, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 252  	[85, 96, 121, 0, 183, 48, 0, 184, 0, 0, 0, 128, 91, 0, 92, 10]
WRONG_SUM! 03/08 13:08:55 SUM: 22  	[190, 44, 10]
WRONG_SUM! 03/08 13:08:56 SUM: 3  	[203, 136, 49, 1, 151, 63, 255, 84, 0, 168, 23, 1, 93, 128, 91, 0, 92, 11, 190, 50, 10]
WRONG_SUM! 03/08 13:08:56 SUM: 9  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 250, 128, 91, 0, 92, 12, 190, 50, 10]
WRONG_SUM! 03/08 13:08:56 SUM: 13  	[195, 128, 91, 0, 92, 11, 190, 48, 10]
WRONG_SUM! 03/08 13:08:56 SUM: 9  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 252, 128, 71, 0, 83, 0, 89, 96, 100, 63, 102, 0, 36, 128, 91, 0, 92, 13, 190, 47, 10]
WRONG_SUM! 03/08 13:08:56 SUM: 9  	[197, 128, 86, 0, 182, 111, 113, 185, 0, 0, 219, 128, 91, 0, 92, 11, 190, 50, 10]
STATUS_OK 03/08 13:08:56 SUM: 10  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 250, 128, 105, 86, 108, 240, 110, 123, 168, 11, 1, 175, 215, 1, 65, 136, 49, 1, 151, 63, 255, 84, 0, 168, 19, 1, 97, 128, 91, 0, 92, 12, 190, 49, 10]
WRONG_SUM! 03/08 13:08:56 SUM: 17  	[196, 128, 244, 4, 0, 0, 0, 0, 245, 4, 113, 146, 143, 0, 253, 128, 91, 0, 92, 13, 190, 41, 10]
